Year|Prov|Grade|Group|Tot|Grads|Perc
91/92| Prov |11|XAB|42672|33412|78
92/93| Prov |01|ALL|44594|43524|98
92/93| Prov |01|FEM|21694|21176|98
92/93| Prov |01|MAL|22900|22348|98
92/93| Prov |01|AB|2198|2116|96
92/93| Prov |01|ELL|4458|4298|96
92/93| Prov |01|FRI|2554|2497|98
92/93| Prov |01|SN|0|0|
92/93| Prov |01|XAB|42396|41408|98
92/93| Prov |02|ALL|48574|47375|98
92/93| Prov |02|FEM|23598|23068|98
92/93| Prov |02|MAL|24976|24307|97
92/93| Prov |02|AB|2392|2299|96
92/93| Prov |02|ELL|4530|4373|97
92/93| Prov |02|FRI|2842|2770|97
92/93| Prov |02|SN|0|0|
92/93| Prov |02|XAB|46182|45076|98
92/93| Prov |03|ALL|46636|44307|95
92/93| Prov |03|FEM|22545|21554|96
92/93| Prov |03|MAL|24091|22753|94
92/93| Prov |03|AB|2344|2074|88
92/93| Prov |03|ELL|4433|4158|94
92/93| Prov |03|FRI|2511|2454|98
92/93| Prov |03|SN|0|0|
92/93| Prov |03|XAB|44292|42233|95
92/93| Prov |04|ALL|47129|45705|97
92/93| Prov |04|FEM|22841|22172|97
92/93| Prov |04|MAL|24288|23533|97
92/93| Prov |04|AB|2313|2175|94
92/93| Prov |04|ELL|4126|3956|96
92/93| Prov |04|FRI|2783|2723|98
92/93| Prov |04|SN|0|0|
92/93| Prov |04|XAB|44816|43530|97
92/93| Prov |05|ALL|46914|45531|97
92/93| Prov |05|FEM|22777|22161|97
92/93| Prov |05|MAL|24137|23370|97
92/93| Prov |05|AB|2373|2213|93
92/93| Prov |05|ELL|3833|3658|95
92/93| Prov |05|FRI|2654|2613|98
92/93| Prov |05|SN|0|0|
92/93| Prov |05|XAB|44541|43318|97
92/93| Prov |06|ALL|45406|44075|97
92/93| Prov |06|FEM|22273|21670|97
92/93| Prov |06|MAL|23133|22405|97
92/93| Prov |06|AB|2141|2014|94
92/93| Prov |06|ELL|3810|3644|96
92/93| Prov |06|FRI|3260|3212|99
92/93| Prov |06|SN|0|0|
92/93| Prov |06|XAB|43265|42061|97
92/93| Prov |07|ALL|44263|42835|97
92/93| Prov |07|FEM|21677|21037|97
92/93| Prov |07|MAL|22586|21798|97
92/93| Prov |07|AB|1919|1761|92
92/93| Prov |07|ELL|3580|3397|95
92/93| Prov |07|FRI|2885|2838|98
92/93| Prov |07|SN|0|0|
92/93| Prov |07|XAB|42344|41074|97
92/93| Prov |08|ALL|43885|40914|93
92/93| Prov |08|FEM|21435|20150|94
92/93| Prov |08|MAL|22450|20764|92
92/93| Prov |08|AB|2159|1683|78
92/93| Prov |08|ELL|2677|2502|93
92/93| Prov |08|FRI|2426|2369|98
92/93| Prov |08|SN|0|0|
92/93| Prov |08|XAB|41726|39231|94
92/93| Prov |09|ALL|42718|38780|91
92/93| Prov |09|FEM|20941|19192|92
92/93| Prov |09|MAL|21777|19588|90
92/93| Prov |09|AB|2005|1451|72
92/93| Prov |09|ELL|3062|2769|90
92/93| Prov |09|FRI|1894|1838|97
92/93| Prov |09|SN|0|0|
92/93| Prov |09|XAB|40713|37329|92
92/93| Prov |10|ALL|43179|37135|86
92/93| Prov |10|FEM|21036|18282|87
92/93| Prov |10|MAL|22143|18853|85
92/93| Prov |10|AB|2009|1281|64
92/93| Prov |10|ELL|3400|3065|90
92/93| Prov |10|FRI|1463|1406|96
92/93| Prov |10|SN|0|0|
92/93| Prov |10|XAB|41170|35854|87
92/93| Prov |11|ALL|43847|33947|77
92/93| Prov |11|FEM|21676|17008|78
92/93| Prov |11|MAL|22171|16939|76
92/93| Prov |11|AB|1692|1017|60
92/93| Prov |11|ELL|3622|2842|78
92/93| Prov |11|FRI|1012|965|95
92/93| Prov |11|SN|0|0|
92/93| Prov |11|XAB|42155|32930|78
93/94| Prov |01|ALL|45660|44583|98
93/94| Prov |01|FEM|22217|21690|98
93/94| Prov |01|MAL|23443|22893|98
93/94| Prov |01|AB|2351|2231|95
93/94| Prov |01|ELL|4819|4663|97
93/94| Prov |01|FRI|2655|2591|98
93/94| Prov |01|SN|0|0|
93/94| Prov |01|XAB|43309|42352|98
93/94| Prov |02|ALL|46128|45018|98
93/94| Prov |02|FEM|22409|21882|98
93/94| Prov |02|MAL|23719|23136|98
93/94| Prov |02|AB|2501|2398|96
93/94| Prov |02|ELL|4698|4541|97
93/94| Prov |02|FRI|2428|2391|98
93/94| Prov |02|SN|0|0|
93/94| Prov |02|XAB|43627|42620|98
93/94| Prov |03|ALL|47484|45060|95
93/94| Prov |03|FEM|23025|22060|96
93/94| Prov |03|MAL|24459|23000|94
93/94| Prov |03|AB|2495|2188|88
93/94| Prov |03|ELL|4780|4487|94
93/94| Prov |03|FRI|2562|2480|97
93/94| Prov |03|SN|0|0|
93/94| Prov |03|XAB|44989|42872|95
93/94| Prov |04|ALL|48702|47297|97
93/94| Prov |04|FEM|23673|23035|97
93/94| Prov |04|MAL|25029|24262|97
93/94| Prov |04|AB|2510|2379|95
93/94| Prov |04|ELL|4520|4327|96
93/94| Prov |04|FRI|2504|2457|98
93/94| Prov |04|SN|0|0|
93/94| Prov |04|XAB|46192|44918|97
93/94| Prov |05|ALL|48068|46819|97
93/94| Prov |05|FEM|23259|22709|98
93/94| Prov |05|MAL|24809|24110|97
93/94| Prov |05|AB|2520|2393|95
93/94| Prov |05|ELL|4177|4000|96
93/94| Prov |05|FRI|2630|2590|98
93/94| Prov |05|SN|0|0|
93/94| Prov |05|XAB|45548|44426|98
93/94| Prov |06|ALL|47870|46592|97
93/94| Prov |06|FEM|23261|22706|98
93/94| Prov |06|MAL|24609|23886|97
93/94| Prov |06|AB|2470|2324|94
93/94| Prov |06|ELL|4121|3974|96
93/94| Prov |06|FRI|3415|3365|99
93/94| Prov |06|SN|0|0|
93/94| Prov |06|XAB|45400|44268|98
93/94| Prov |07|ALL|46330|44926|97
93/94| Prov |07|FEM|22705|22058|97
93/94| Prov |07|MAL|23625|22868|97
93/94| Prov |07|AB|2303|2134|93
93/94| Prov |07|ELL|4058|3899|96
93/94| Prov |07|FRI|3066|3023|99
93/94| Prov |07|SN|0|0|
93/94| Prov |07|XAB|44027|42792|97
93/94| Prov |08|ALL|45695|42646|93
93/94| Prov |08|FEM|22361|21075|94
93/94| Prov |08|MAL|23334|21571|92
93/94| Prov |08|AB|2136|1657|78
93/94| Prov |08|ELL|2969|2793|94
93/94| Prov |08|FRI|2434|2382|98
93/94| Prov |08|SN|0|0|
93/94| Prov |08|XAB|43559|40989|94
93/94| Prov |09|ALL|44245|39994|90
93/94| Prov |09|FEM|21640|19756|91
93/94| Prov |09|MAL|22605|20238|90
93/94| Prov |09|AB|2179|1603|74
93/94| Prov |09|ELL|3335|3053|92
93/94| Prov |09|FRI|2184|2125|97
93/94| Prov |09|SN|0|0|
93/94| Prov |09|XAB|42066|38391|91
93/94| Prov |10|ALL|44002|37860|86
93/94| Prov |10|FEM|21721|18881|87
93/94| Prov |10|MAL|22281|18979|85
93/94| Prov |10|AB|2039|1319|65
93/94| Prov |10|ELL|3758|3334|89
93/94| Prov |10|FRI|1672|1618|97
93/94| Prov |10|SN|0|0|
93/94| Prov |10|XAB|41963|36541|87
93/94| Prov |11|ALL|44366|35049|79
93/94| Prov |11|FEM|21909|17603|80
93/94| Prov |11|MAL|22457|17446|78
93/94| Prov |11|AB|1862|1083|58
93/94| Prov |11|ELL|4119|3235|79
93/94| Prov |11|FRI|1163|1125|97
93/94| Prov |11|SN|0|0|
93/94| Prov |11|XAB|42504|33966|80
94/95| Prov |01|ALL|46859|45540|97
94/95| Prov |01|FEM|23069|22417|97
94/95| Prov |01|MAL|23790|23123|97
94/95| Prov |01|AB|2644|2500|95
94/95| Prov |01|ELL|5408|5251|97
94/95| Prov |01|FRI|2759|2693|98
94/95| Prov |01|SN|0|0|
94/95| Prov |01|XAB|44215|43040|97
94/95| Prov |02|ALL|46956|45661|97
94/95| Prov |02|FEM|22811|22182|97
94/95| Prov |02|MAL|24145|23479|97
94/95| Prov |02|AB|2651|2515|95
94/95| Prov |02|ELL|5294|5144|97
94/95| Prov |02|FRI|2512|2452|98
94/95| Prov |02|SN|0|0|
94/95| Prov |02|XAB|44305|43146|97
94/95| Prov |03|ALL|45839|43159|94
94/95| Prov |03|FEM|22023|20912|95
94/95| Prov |03|MAL|23816|22247|93
94/95| Prov |03|AB|2653|2377|90
94/95| Prov |03|ELL|5001|4660|93
94/95| Prov |03|FRI|2218|2137|96
94/95| Prov |03|SN|0|0|
94/95| Prov |03|XAB|43186|40782|94
94/95| Prov |04|ALL|49721|48016|97
94/95| Prov |04|FEM|24414|23649|97
94/95| Prov |04|MAL|25307|24367|96
94/95| Prov |04|AB|2637|2478|94
94/95| Prov |04|ELL|5138|4918|96
94/95| Prov |04|FRI|2512|2446|97
94/95| Prov |04|SN|0|0|
94/95| Prov |04|XAB|47084|45538|97
94/95| Prov |05|ALL|49790|48218|97
94/95| Prov |05|FEM|24180|23482|97
94/95| Prov |05|MAL|25610|24736|97
94/95| Prov |05|AB|2692|2519|94
94/95| Prov |05|ELL|4836|4636|96
94/95| Prov |05|FRI|2362|2313|98
94/95| Prov |05|SN|0|0|
94/95| Prov |05|XAB|47098|45699|97
94/95| Prov |06|ALL|49206|47646|97
94/95| Prov |06|FEM|23806|23109|97
94/95| Prov |06|MAL|25400|24537|97
94/95| Prov |06|AB|2740|2586|94
94/95| Prov |06|ELL|4683|4506|96
94/95| Prov |06|FRI|3425|3359|98
94/95| Prov |06|SN|0|0|
94/95| Prov |06|XAB|46466|45060|97
94/95| Prov |07|ALL|48950|47198|96
94/95| Prov |07|FEM|23801|23002|97
94/95| Prov |07|MAL|25149|24196|96
94/95| Prov |07|AB|2540|2339|92
94/95| Prov |07|ELL|4679|4506|96
94/95| Prov |07|FRI|3209|3147|98
94/95| Prov |07|SN|0|0|
94/95| Prov |07|XAB|46410|44859|97
94/95| Prov |08|ALL|47720|44280|93
94/95| Prov |08|FEM|23371|21871|94
94/95| Prov |08|MAL|24349|22409|92
94/95| Prov |08|AB|2538|1974|78
94/95| Prov |08|ELL|3336|3156|95
94/95| Prov |08|FRI|2571|2505|97
94/95| Prov |08|SN|0|0|
94/95| Prov |08|XAB|45182|42306|94
94/95| Prov |09|ALL|46262|42135|91
94/95| Prov |09|FEM|22683|20768|92
94/95| Prov |09|MAL|23579|21367|91
94/95| Prov |09|AB|2209|1612|73
94/95| Prov |09|ELL|3617|3342|92
94/95| Prov |09|FRI|2239|2167|97
94/95| Prov |09|SN|0|0|
94/95| Prov |09|XAB|44053|40523|92
94/95| Prov |10|ALL|45562|39132|86
94/95| Prov |10|FEM|22424|19415|87
94/95| Prov |10|MAL|23138|19717|85
94/95| Prov |10|AB|2274|1417|62
94/95| Prov |10|ELL|4096|3681|90
94/95| Prov |10|FRI|1909|1852|97
94/95| Prov |10|SN|0|0|
94/95| Prov |10|XAB|43288|37715|87
94/95| Prov |11|ALL|45879|35940|78
94/95| Prov |11|FEM|22904|18147|79
94/95| Prov |11|MAL|22975|17793|77
94/95| Prov |11|AB|1996|1100|55
94/95| Prov |11|ELL|4519|3533|78
94/95| Prov |11|FRI|1355|1306|96
94/95| Prov |11|SN|0|0|
94/95| Prov |11|XAB|43883|34840|79
95/96| Prov |01|ALL|46093|44329|96
95/96| Prov |01|FEM|22716|21920|96
95/96| Prov |01|MAL|23377|22409|96
95/96| Prov |01|AB|2677|2492|93
95/96| Prov |01|ELL|5597|5375|96
95/96| Prov |01|FRI|2730|2657|97
95/96| Prov |01|SN|0|0|
95/96| Prov |01|XAB|43416|41837|96
95/96| Prov |02|ALL|48643|45609|94
95/96| Prov |02|FEM|23762|22567|95
95/96| Prov |02|MAL|24881|23042|93
95/96| Prov |02|AB|2894|2603|90
95/96| Prov |02|ELL|6010|5688|95
95/96| Prov |02|FRI|2578|2443|95
95/96| Prov |02|SN|0|0|
95/96| Prov |02|XAB|45749|43006|94
95/96| Prov |03|ALL|47691|44747|94
95/96| Prov |03|FEM|23152|21967|95
95/96| Prov |03|MAL|24539|22780|93
95/96| Prov |03|AB|2799|2501|89
95/96| Prov |03|ELL|5779|5364|93
95/96| Prov |03|FRI|2361|2279|97
95/96| Prov |03|SN|0|0|
95/96| Prov |03|XAB|44892|42246|94
95/96| Prov |04|ALL|46209|44539|96
95/96| Prov |04|FEM|22262|21498|97
95/96| Prov |04|MAL|23947|23041|96
95/96| Prov |04|AB|2759|2579|93
95/96| Prov |04|ELL|5253|5026|96
95/96| Prov |04|FRI|2072|2014|97
95/96| Prov |04|SN|0|0|
95/96| Prov |04|XAB|43450|41960|97
95/96| Prov |05|ALL|50240|48722|97
95/96| Prov |05|FEM|24673|23949|97
95/96| Prov |05|MAL|25567|24773|97
95/96| Prov |05|AB|2790|2638|95
95/96| Prov |05|ELL|5356|5143|96
95/96| Prov |05|FRI|2358|2310|98
95/96| Prov |05|SN|0|0|
95/96| Prov |05|XAB|47450|46084|97
95/96| Prov |06|ALL|50359|48829|97
95/96| Prov |06|FEM|24475|23778|97
95/96| Prov |06|MAL|25884|25051|97
95/96| Prov |06|AB|2765|2636|95
95/96| Prov |06|ELL|5124|4955|97
95/96| Prov |06|FRI|3099|3037|98
95/96| Prov |06|SN|0|0|
95/96| Prov |06|XAB|47594|46193|97
95/96| Prov |07|ALL|49852|48178|97
95/96| Prov |07|FEM|24186|23404|97
95/96| Prov |07|MAL|25666|24774|97
95/96| Prov |07|AB|2760|2549|92
95/96| Prov |07|ELL|5154|4970|96
95/96| Prov |07|FRI|3152|3093|98
95/96| Prov |07|SN|0|0|
95/96| Prov |07|XAB|47092|45629|97
95/96| Prov |08|ALL|49607|46555|94
95/96| Prov |08|FEM|24076|22766|95
95/96| Prov |08|MAL|25531|23789|93
95/96| Prov |08|AB|2656|2144|81
95/96| Prov |08|ELL|3375|3172|94
95/96| Prov |08|FRI|2575|2511|98
95/96| Prov |08|SN|0|0|
95/96| Prov |08|XAB|46951|44411|95
95/96| Prov |09|ALL|47503|43746|92
95/96| Prov |09|FEM|23275|21617|93
95/96| Prov |09|MAL|24228|22129|91
95/96| Prov |09|AB|2467|1883|76
95/96| Prov |09|ELL|3834|3619|94
95/96| Prov |09|FRI|2293|2236|98
95/96| Prov |09|SN|0|0|
95/96| Prov |09|XAB|45036|41863|93
95/96| Prov |10|ALL|47778|41844|88
95/96| Prov |10|FEM|23461|20741|88
95/96| Prov |10|MAL|24317|21103|87
95/96| Prov |10|AB|2290|1493|65
95/96| Prov |10|ELL|4250|3833|90
95/96| Prov |10|FRI|1965|1890|96
95/96| Prov |10|SN|0|0|
95/96| Prov |10|XAB|45488|40351|89
95/96| Prov |11|ALL|46527|37635|81
95/96| Prov |11|FEM|23007|18945|82
95/96| Prov |11|MAL|23520|18690|79
95/96| Prov |11|AB|2068|1182|57
95/96| Prov |11|ELL|4782|3738|78
95/96| Prov |11|FRI|1557|1502|96
95/96| Prov |11|SN|0|0|
95/96| Prov |11|XAB|44459|36453|82
96/97| Prov |01|ALL|49045|47132|96
96/97| Prov |01|FEM|24111|23252|96
96/97| Prov |01|MAL|24934|23880|96
96/97| Prov |01|AB|2992|2781|93
96/97| Prov |01|ELL|6200|5941|96
96/97| Prov |01|FRI|2748|2618|95
96/97| Prov |01|SN|269|248|92
96/97| Prov |01|XAB|46053|44351|96
96/97| Prov |02|ALL|46618|45061|97
96/97| Prov |02|FEM|23001|22297|97
96/97| Prov |02|MAL|23617|22764|96
96/97| Prov |02|AB|2838|2655|94
96/97| Prov |02|ELL|6001|5749|96
96/97| Prov |02|FRI|2501|2420|97
96/97| Prov |02|SN|399|371|93
96/97| Prov |02|XAB|43780|42406|97
96/97| Prov |03|ALL|47744|46068|96
96/97| Prov |03|FEM|23568|22771|97
96/97| Prov |03|MAL|24176|23297|96
96/97| Prov |03|AB|2947|2785|95
96/97| Prov |03|ELL|6250|5957|95
96/97| Prov |03|FRI|2359|2285|97
96/97| Prov |03|SN|378|353|93
96/97| Prov |03|XAB|44797|43283|97
96/97| Prov |04|ALL|48119|46713|97
96/97| Prov |04|FEM|23493|22834|97
96/97| Prov |04|MAL|24626|23879|97
96/97| Prov |04|AB|2913|2773|95
96/97| Prov |04|ELL|5755|5522|96
96/97| Prov |04|FRI|2225|2181|98
96/97| Prov |04|SN|457|429|94
96/97| Prov |04|XAB|45206|43940|97
96/97| Prov |05|ALL|46953|45593|97
96/97| Prov |05|FEM|22635|22018|97
96/97| Prov |05|MAL|24318|23575|97
96/97| Prov |05|AB|2874|2737|95
96/97| Prov |05|ELL|5443|5215|96
96/97| Prov |05|FRI|1931|1892|98
96/97| Prov |05|SN|483|452|94
96/97| Prov |05|XAB|44079|42856|97
96/97| Prov |06|ALL|51203|49803|97
96/97| Prov |06|FEM|25097|24476|98
96/97| Prov |06|MAL|26106|25327|97
96/97| Prov |06|AB|2986|2843|95
96/97| Prov |06|ELL|5585|5377|96
96/97| Prov |06|FRI|3134|3084|98
96/97| Prov |06|SN|546|506|93
96/97| Prov |06|XAB|48217|46960|97
96/97| Prov |07|ALL|51297|49795|97
96/97| Prov |07|FEM|24931|24255|97
96/97| Prov |07|MAL|26366|25540|97
96/97| Prov |07|AB|2916|2730|94
96/97| Prov |07|ELL|5422|5204|96
96/97| Prov |07|FRI|2901|2848|98
96/97| Prov |07|SN|556|512|92
96/97| Prov |07|XAB|48381|47065|97
96/97| Prov |08|ALL|51022|48116|94
96/97| Prov |08|FEM|24724|23457|95
96/97| Prov |08|MAL|26298|24659|94
96/97| Prov |08|AB|2961|2402|81
96/97| Prov |08|ELL|4042|3817|94
96/97| Prov |08|FRI|2556|2513|98
96/97| Prov |08|SN|683|506|74
96/97| Prov |08|XAB|48061|45714|95
96/97| Prov |09|ALL|50506|46580|92
96/97| Prov |09|FEM|24548|22817|93
96/97| Prov |09|MAL|25958|23763|92
96/97| Prov |09|AB|2791|2160|77
96/97| Prov |09|ELL|4152|3861|93
96/97| Prov |09|FRI|2296|2247|98
96/97| Prov |09|SN|600|404|67
96/97| Prov |09|XAB|47715|44420|93
96/97| Prov |10|ALL|49537|43804|88
96/97| Prov |10|FEM|24316|21652|89
96/97| Prov |10|MAL|25221|22152|88
96/97| Prov |10|AB|2534|1742|69
96/97| Prov |10|ELL|4846|4347|90
96/97| Prov |10|FRI|2037|1982|97
96/97| Prov |10|SN|572|339|59
96/97| Prov |10|XAB|47003|42062|89
96/97| Prov |11|ALL|50796|40760|80
96/97| Prov |11|FEM|25171|20521|82
96/97| Prov |11|MAL|25625|20239|79
96/97| Prov |11|AB|2373|1326|56
96/97| Prov |11|ELL|5141|3960|77
96/97| Prov |11|FRI|1591|1544|97
96/97| Prov |11|SN|407|198|49
96/97| Prov |11|XAB|48423|39434|81
97/98| Prov |01|ALL|48578|46524|96
97/98| Prov |01|FEM|23652|22751|96
97/98| Prov |01|MAL|24926|23773|95
97/98| Prov |01|AB|3143|2933|93
97/98| Prov |01|ELL|6628|6313|95
97/98| Prov |01|FRI|2799|2691|96
97/98| Prov |01|SN|302|275|91
97/98| Prov |01|XAB|45435|43591|96
97/98| Prov |02|ALL|49550|47836|97
97/98| Prov |02|FEM|24347|23536|97
97/98| Prov |02|MAL|25203|24300|96
97/98| Prov |02|AB|3225|3051|95
97/98| Prov |02|ELL|6525|6297|97
97/98| Prov |02|FRI|2496|2399|96
97/98| Prov |02|SN|417|395|95
97/98| Prov |02|XAB|46325|44785|97
97/98| Prov |03|ALL|49101|47092|96
97/98| Prov |03|FEM|23976|23039|96
97/98| Prov |03|MAL|25125|24053|96
97/98| Prov |03|AB|3155|2960|94
97/98| Prov |03|ELL|6403|6123|96
97/98| Prov |03|FRI|2367|2317|98
97/98| Prov |03|SN|495|450|91
97/98| Prov |03|XAB|45946|44132|96
97/98| Prov |04|ALL|49593|47948|97
97/98| Prov |04|FEM|24253|23496|97
97/98| Prov |04|MAL|25340|24452|96
97/98| Prov |04|AB|3258|3071|94
97/98| Prov |04|ELL|6741|6418|95
97/98| Prov |04|FRI|2238|2180|97
97/98| Prov |04|SN|511|476|93
97/98| Prov |04|XAB|46335|44877|97
97/98| Prov |05|ALL|49110|47587|97
97/98| Prov |05|FEM|23909|23229|97
97/98| Prov |05|MAL|25201|24358|97
97/98| Prov |05|AB|3147|2982|95
97/98| Prov |05|ELL|6072|5828|96
97/98| Prov |05|FRI|2097|2047|98
97/98| Prov |05|SN|508|476|94
97/98| Prov |05|XAB|45963|44605|97
97/98| Prov |06|ALL|48044|46481|97
97/98| Prov |06|FEM|23167|22461|97
97/98| Prov |06|MAL|24877|24020|97
97/98| Prov |06|AB|3027|2858|94
97/98| Prov |06|ELL|5667|5401|95
97/98| Prov |06|FRI|2631|2564|97
97/98| Prov |06|SN|584|539|92
97/98| Prov |06|XAB|45017|43623|97
97/98| Prov |07|ALL|52393|50724|97
97/98| Prov |07|FEM|25680|24912|97
97/98| Prov |07|MAL|26713|25812|97
97/98| Prov |07|AB|3147|2905|92
97/98| Prov |07|ELL|5724|5534|97
97/98| Prov |07|FRI|2884|2832|98
97/98| Prov |07|SN|645|586|91
97/98| Prov |07|XAB|49246|47819|97
97/98| Prov |08|ALL|52820|49618|94
97/98| Prov |08|FEM|25683|24251|94
97/98| Prov |08|MAL|27137|25367|93
97/98| Prov |08|AB|3069|2542|83
97/98| Prov |08|ELL|4940|4621|94
97/98| Prov |08|FRI|2392|2346|98
97/98| Prov |08|SN|613|461|75
97/98| Prov |08|XAB|49751|47076|95
97/98| Prov |09|ALL|52105|47793|92
97/98| Prov |09|FEM|25265|23356|92
97/98| Prov |09|MAL|26840|24437|91
97/98| Prov |09|AB|2961|2314|78
97/98| Prov |09|ELL|5064|4639|92
97/98| Prov |09|FRI|2266|2216|98
97/98| Prov |09|SN|700|470|67
97/98| Prov |09|XAB|49144|45479|93
97/98| Prov |10|ALL|52638|46410|88
97/98| Prov |10|FEM|25762|22805|89
97/98| Prov |10|MAL|26876|23605|88
97/98| Prov |10|AB|2760|1928|70
97/98| Prov |10|ELL|5599|4943|88
97/98| Prov |10|FRI|1999|1950|98
97/98| Prov |10|SN|589|349|59
97/98| Prov |10|XAB|49878|44482|89
97/98| Prov |11|ALL|53293|41983|79
97/98| Prov |11|FEM|26396|21106|80
97/98| Prov |11|MAL|26897|20877|78
97/98| Prov |11|AB|2434|1365|56
97/98| Prov |11|ELL|6126|4738|77
97/98| Prov |11|FRI|1653|1584|96
97/98| Prov |11|SN|523|248|47
97/98| Prov |11|XAB|50859|40618|80
98/99| Prov |01|ALL|48429|46532|96
98/99| Prov |01|FEM|23570|22711|96
98/99| Prov |01|MAL|24859|23821|96
98/99| Prov |01|AB|3275|3042|93
98/99| Prov |01|ELL|7131|6846|96
98/99| Prov |01|FRI|2804|2701|96
98/99| Prov |01|SN|277|261|94
98/99| Prov |01|XAB|45154|43490|96
98/99| Prov |02|ALL|48659|47044|97
98/99| Prov |02|FEM|23726|22996|97
98/99| Prov |02|MAL|24933|24048|96
98/99| Prov |02|AB|3393|3211|95
98/99| Prov |02|ELL|6631|6371|96
98/99| Prov |02|FRI|2569|2493|97
98/99| Prov |02|SN|417|389|93
98/99| Prov |02|XAB|45266|43833|97
98/99| Prov |03|ALL|49899|48265|97
98/99| Prov |03|FEM|24498|23713|97
98/99| Prov |03|MAL|25401|24552|97
98/99| Prov |03|AB|3457|3274|95
98/99| Prov |03|ELL|6384|6149|96
98/99| Prov |03|FRI|2282|2217|97
98/99| Prov |03|SN|492|456|93
98/99| Prov |03|XAB|46442|44991|97
98/99| Prov |04|ALL|49161|47610|97
98/99| Prov |04|FEM|23997|23256|97
98/99| Prov |04|MAL|25164|24354|97
98/99| Prov |04|AB|3342|3173|95
98/99| Prov |04|ELL|6219|5977|96
98/99| Prov |04|FRI|2252|2195|97
98/99| Prov |04|SN|523|490|94
98/99| Prov |04|XAB|45819|44437|97
98/99| Prov |05|ALL|49878|48422|97
98/99| Prov |05|FEM|24418|23717|97
98/99| Prov |05|MAL|25460|24705|97
