Year|Prov|Grade|Group|Tot|Grads|Perc
91/92| Prov |01|ALL|47032|45483|97
91/92| Prov |01|FEM|22961|22247|97
91/92| Prov |01|MAL|24071|23236|97
91/92| Prov |01|AB|2060|1930|94
91/92| Prov |01|ELL|4127|3959|96
91/92| Prov |01|FRI|2954|2888|98
91/92| Prov |01|SN|0|0|
91/92| Prov |01|XAB|44972|43553|97
91/92| Prov |02|ALL|45395|44244|97
91/92| Prov |02|FEM|21951|21390|97
91/92| Prov |02|MAL|23444|22854|97
91/92| Prov |02|AB|2097|2012|96
91/92| Prov |02|ELL|3938|3785|96
91/92| Prov |02|FRI|2628|2574|98
91/92| Prov |02|SN|0|0|
91/92| Prov |02|XAB|43298|42232|98
91/92| Prov |03|ALL|47307|45333|96
91/92| Prov |03|FEM|22822|21958|96
91/92| Prov |03|MAL|24485|23375|95
91/92| Prov |03|AB|2282|2110|92
91/92| Prov |03|ELL|3695|3440|93
91/92| Prov |03|FRI|2919|2858|98
91/92| Prov |03|SN|0|0|
91/92| Prov |03|XAB|45025|43223|96
91/92| Prov |04|ALL|46199|44632|97
91/92| Prov |04|FEM|22309|21670|97
91/92| Prov |04|MAL|23890|22962|96
91/92| Prov |04|AB|2235|2072|93
91/92| Prov |04|ELL|3175|3009|95
91/92| Prov |04|FRI|2806|2770|99
91/92| Prov |04|SN|0|0|
91/92| Prov |04|XAB|43964|42560|97
91/92| Prov |05|ALL|44640|43216|97
91/92| Prov |05|FEM|21844|21216|97
91/92| Prov |05|MAL|22796|22000|97
91/92| Prov |05|AB|2040|1911|94
91/92| Prov |05|ELL|2994|2840|95
91/92| Prov |05|FRI|2615|2576|99
91/92| Prov |05|SN|0|0|
91/92| Prov |05|XAB|42600|41305|97
91/92| Prov |06|ALL|43616|42249|97
91/92| Prov |06|FEM|21291|20696|97
91/92| Prov |06|MAL|22325|21553|97
91/92| Prov |06|AB|1927|1812|94
91/92| Prov |06|ELL|2796|2666|95
91/92| Prov |06|FRI|3052|3002|98
91/92| Prov |06|SN|0|0|
91/92| Prov |06|XAB|41689|40437|97
91/92| Prov |07|ALL|42696|41122|96
91/92| Prov |07|FEM|20876|20142|96
91/92| Prov |07|MAL|21820|20980|96
91/92| Prov |07|AB|1909|1769|93
91/92| Prov |07|ELL|2708|2487|92
91/92| Prov |07|FRI|2849|2793|98
91/92| Prov |07|SN|0|0|
91/92| Prov |07|XAB|40787|39353|96
91/92| Prov |08|ALL|43646|40266|92
91/92| Prov |08|FEM|21202|19745|93
91/92| Prov |08|MAL|22444|20521|91
91/92| Prov |08|AB|2159|1693|78
91/92| Prov |08|ELL|2008|1878|94
91/92| Prov |08|FRI|2088|2037|98
91/92| Prov |08|SN|0|0|
91/92| Prov |08|XAB|41487|38573|93
91/92| Prov |09|ALL|43576|39166|90
91/92| Prov |09|FEM|20990|19028|91
91/92| Prov |09|MAL|22586|20138|89
91/92| Prov |09|AB|2212|1603|72
91/92| Prov |09|ELL|2517|2203|88
91/92| Prov |09|FRI|1675|1634|98
91/92| Prov |09|SN|0|0|
91/92| Prov |09|XAB|41364|37563|91
91/92| Prov |10|ALL|43379|36751|85
91/92| Prov |10|FEM|21055|18020|86
91/92| Prov |10|MAL|22324|18731|84
91/92| Prov |10|AB|2051|1289|63
91/92| Prov |10|ELL|2708|2327|86
91/92| Prov |10|FRI|1225|1184|97
91/92| Prov |10|SN|0|0|
91/92| Prov |10|XAB|41328|35462|86
91/92| Prov |11|ALL|44404|34433|78
91/92| Prov |11|FEM|21981|17269|79
91/92| Prov |11|MAL|22423|17164|77
91/92| Prov |11|AB|1732|1021|59
91/92| Prov |11|ELL|2852|2144|75
91/92| Prov |11|FRI|954|914|96
91/92| Prov |11|SN|0|0|
